Country,Confirmed,Deaths,Recovered,Date,Population,PercPopConfirmed,PercPopDeaths
Afghanistan,1.0,0.0,0.0,2020-02-24,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-02-25,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-02-26,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-02-27,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-02-28,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-02-29,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-03-01,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-03-02,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-03-03,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-03-04,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-03-05,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-03-06,38928346.0,2.568822215051212e-06,0.0
Afghanistan,1.0,0.0,0.0,2020-03-07,38928346.0,2.568822215051212e-06,0.0
Afghanistan,4.0,0.0,0.0,2020-03-08,38928346.0,1.0275288860204849e-05,0.0
Afghanistan,4.0,0.0,0.0,2020-03-09,38928346.0,1.0275288860204849e-05,0.0
Afghanistan,5.0,0.0,0.0,2020-03-10,38928346.0,1.2844111075256061e-05,0.0
Afghanistan,7.0,0.0,0.0,2020-03-11,38928346.0,1.7981755505358486e-05,0.0
Afghanistan,7.0,0.0,0.0,2020-03-12,38928346.0,1.7981755505358486e-05,0.0
Afghanistan,7.0,0.0,0.0,2020-03-13,38928346.0,1.7981755505358486e-05,0.0
Afghanistan,11.0,0.0,0.0,2020-03-14,38928346.0,2.8257044365563334e-05,0.0
Afghanistan,16.0,0.0,0.0,2020-03-15,38928346.0,4.1101155440819394e-05,0.0
