"seasonid","baseline","threshold","percent_pni","percent_complete","number_influenza","number_pneumonia","all_deaths","total_pni","weeknumber","geo_description","age_label","week_start","week_end","year_week_num","mmwrid","coverage_area","region_name","callout"
"59",0.053,0.057,0.052,1,16,2707,52465,2723,"40","National","All",2019-09-29,2019-10-05,40,"3014","national","national","Normal levels"
"59",0.054,0.057,0.053,1,16,2770,52870,2786,"41","National","All",2019-10-06,2019-10-12,41,"3015","national","national","Normal levels"
"59",0.055,0.058,0.055,1,18,2978,54143,2996,"42","National","All",2019-10-13,2019-10-19,42,"3016","national","national","Normal levels"
"59",0.056,0.059,0.056,1,30,2986,53922,3016,"43","National","All",2019-10-20,2019-10-26,43,"3017","national","national","Normal levels"
"59",0.057,0.06,0.054,1,31,2908,54000,2939,"44","National","All",2019-10-27,2019-11-02,44,"3018","national","national","Normal levels"
"59",0.058,0.062,0.056,1,31,3064,55502,3095,"45","National","All",2019-11-03,2019-11-09,45,"3019","national","national","Normal levels"
"59",0.059,0.063,0.056,1,39,3097,55711,3136,"46","National","All",2019-11-10,2019-11-16,46,"3020","national","national","Normal levels"
"59",0.06,0.064,0.054,1,50,2996,56038,3046,"47","National","All",2019-11-17,2019-11-23,47,"3021","national","national","Normal levels"
"59",0.062,0.065,0.055,1,65,2979,55267,3044,"48","National","All",2019-11-24,2019-11-30,48,"3022","national","national","Normal levels"
"59",0.063,0.066,0.06,1,99,3307,57034,3406,"49","National","All",2019-12-01,2019-12-07,49,"3023","national","national","Normal levels"
"59",0.064,0.067,0.062,1,111,3452,57319,3563,"50","National","All",2019-12-08,2019-12-14,50,"3024","national","national","Normal levels"
"59",0.065,0.068,0.061,1,125,3350,57065,3475,"51","National","All",2019-12-15,2019-12-21,51,"3025","national","national","Normal levels"
"59",0.066,0.069,0.063,1,198,3482,58053,3680,"52","National","All",2019-12-22,2019-12-28,52,"3026","national","national","Normal levels"
"59",0.067,0.07,0.075,1,417,4011,59087,4428,"1","National","All",2019-12-29,2020-01-04,1,"3027","national","national","At or Above Threshold"
"59",0.067,0.071,0.075,1,455,4007,59151,4462,"2","National","All",2020-01-05,2020-01-11,2,"3028","national","national","At or Above Threshold"
"59",0.068,0.072,0.076,1,445,3913,57616,4358,"3","National","All",2020-01-12,2020-01-18,3,"3029","national","national","At or Above Threshold"
"59",0.069,0.072,0.074,1,470,3755,57000,4225,"4","National","All",2020-01-19,2020-01-25,4,"3030","national","national","At or Above Threshold"
"59",0.069,0.073,0.072,1,453,3626,56426,4079,"5","National","All",2020-01-26,2020-02-01,5,"3031","national","national","Normal levels"
"59",0.07,0.073,0.072,1,487,3624,56962,4111,"6","National","All",2020-02-02,2020-02-08,6,"3032","national","national","Normal levels"
"59",0.07,0.073,0.074,1,498,3627,55981,4125,"7","National","All",2020-02-09,2020-02-15,7,"3033","national","national","At or Above Threshold"
"59",0.07,0.073,0.072,1,516,3480,55494,3996,"8","National","All",2020-02-16,2020-02-22,8,"3034","national","national","Normal levels"
"59",0.07,0.073,0.074,1,583,3501,54834,4084,"9","National","All",2020-02-23,2020-02-29,9,"3035","national","national","At or Above Threshold"
"59",0.07,0.073,0.077,1,561,3590,54157,4151,"10","National","All",2020-03-01,2020-03-07,10,"3036","national","national","At or Above Threshold"
"59",0.069,0.073,0.079,1,550,3553,52198,4103,"11","National","All",2020-03-08,2020-03-14,11,"3037","national","national","At or Above Threshold"
"59",0.069,0.072,0.086,1,474,3947,51602,4421,"12","National","All",2020-03-15,2020-03-21,12,"3038","national","national","At or Above Threshold"
"59",0.068,0.071,0.103,1,355,5016,52285,5371,"13","National","All",2020-03-22,2020-03-28,13,"3039","national","national","At or Above Threshold"
"59",0.067,0.071,0.129,1,342,6017,49292,6359,"14","National","All",2020-03-29,2020-04-04,14,"3040","national","national","At or Above Threshold"
"59",0.067,0.07,0.119,0.582,206,3081,27688,3287,"15","National","All",2020-04-05,2020-04-11,15,"3041","national","national","At or Above Threshold"
"58",0.055,0.059,0.057,1,10,2969,52357,2979,"40","National","All",2018-09-30,2018-10-06,40,"2962","national","national","Normal levels"
"58",0.056,0.059,0.056,1,12,2866,51849,2878,"41","National","All",2018-10-07,2018-10-13,41,"2963","national","national","Normal levels"
