,state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,notes,hash
0,AK,329,1.0,1.0,1.0,1.0,A,4.0,10790,,42.0,36.0,,,,,168.0,4/21 15:15,4/21 15:32,9.0,36.0,11119,11119,11119,2,2020-04-21T19:15:00Z,2020-04-21T19:32:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",21e3abbf65693963556e477f74528ac4437f9ef1
1,AL,5327,1.0,1.0,0.0,1.0,B,3.0,43295,,,697.0,,260.0,,157.0,,4/21 00:00,4/21 23:00,186.0,697.0,48622,48622,48622,1,2020-04-21T04:00:00Z,2020-04-22T03:00:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",f0de445f1b0d603197e43096a60fa545a9ab5860
2,AR,2262,1.0,1.0,1.0,1.0,A,4.0,26795,,86.0,291.0,,,27.0,57.0,849.0,4/21 00:00,4/21 23:03,43.0,291.0,29057,29057,29057,5,2020-04-21T04:00:00Z,2020-04-22T03:03:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",975ee349fdba0ee52959cf8e741596706de1f6cf
3,AZ,5251,1.0,1.0,0.0,1.0,B,3.0,49901,,669.0,,290.0,,211.0,,1215.0,4/21 00:00,4/21 23:46,208.0,,55152,55152,55152,4,2020-04-21T04:00:00Z,2020-04-22T03:46:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",5e89b9c7a10273729693249fa80c97c72954a4af
4,CA,33261,1.0,1.0,0.0,1.0,B,3.0,259645,7200.0,4886.0,,1502.0,,,,,4/21 00:00,4/21 23:28,1268.0,,300106,292906,292906,6,2020-04-21T04:00:00Z,2020-04-22T03:28:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",33eab2ae46a3555cb051a06ccfae0b90e0a44086
5,CO,10106,1.0,1.0,1.0,1.0,A,4.0,37360,,861.0,1880.0,,,,,,4/20 16:41,4/21 14:15,449.0,1880.0,47466,47466,47466,8,2020-04-20T20:41:00Z,2020-04-21T18:15:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",8af997619714f393dcb08f88fa9eb856d4d1172a
6,CT,20360,1.0,1.0,1.0,1.0,A,4.0,43832,,1949.0,,,,,,,4/21 00:00,4/21 16:32,1423.0,,64192,64192,64192,9,2020-04-21T04:00:00Z,2020-04-21T20:32:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",c3f32ccfad351a33407311202438f4f6b3eb74c7
7,DC,3098,1.0,1.0,1.0,1.0,A,4.0,11841,,402.0,,120.0,,69.0,,636.0,4/20 00:00,4/21 16:06,112.0,,14939,14939,14939,11,2020-04-20T04:00:00Z,2020-04-21T20:06:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",f3e3d169d2b6313d21a6df15cc3c67aa7043c4f1
8,DE,2931,1.0,1.0,1.0,1.0,A,4.0,13725,,263.0,,,,,,565.0,4/20 18:00,4/21 14:27,82.0,,16656,16656,16656,10,2020-04-20T22:00:00Z,2020-04-21T18:27:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",8b0b7b81dacaee6098ac2a20cf26b130b719261b
9,FL,27869,1.0,1.0,1.0,1.0,A,4.0,254471,1264.0,,4401.0,,,,,,4/21 16:19,4/21 23:05,884.0,4401.0,283604,282340,282340,12,2020-04-21T20:19:00Z,2020-04-22T03:05:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",24bacc6ffece9cb7fe6cc51b2b723d9ac8fa94b6
10,GA,20166,1.0,1.0,1.0,1.0,A,4.0,68259,,,3885.0,,,,,,4/21 18:28,4/21 23:11,818.0,3885.0,88425,88425,88425,13,2020-04-21T22:28:00Z,2020-04-22T03:11:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",ee253e37100f429b0826c0a0b26baff54ed9e351
11,HI,582,1.0,1.0,1.0,1.0,A,4.0,24760,,,56.0,,,,,437.0,4/21 19:30,4/21 23:19,12.0,56.0,25342,25342,25342,15,2020-04-21T23:30:00Z,2020-04-22T03:19:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",bc5e9cb13f5ee8952272c9b98d8c762f4e014690
12,IA,3641,1.0,1.0,1.0,1.0,A,4.0,23974,,214.0,,89.0,,60.0,,1293.0,4/20 12:00,4/21 14:17,83.0,,27615,27615,27615,19,2020-04-20T16:00:00Z,2020-04-21T18:17:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2f4bc1920a975535bc66d9c158c28a04f827256a
13,ID,1766,1.0,1.0,1.0,1.0,A,4.0,15964,,,158.0,,58.0,,,710.0,4/21 19:00,4/21 23:20,51.0,158.0,17730,17730,17730,16,2020-04-21T23:00:00Z,2020-04-22T03:20:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3a1d11367a1b45f036082f3432b20b2d56d0e221
14,IL,33059,1.0,1.0,1.0,1.0,A,4.0,121938,,4776.0,,1226.0,,781.0,,,4/21 00:00,4/21 16:10,1468.0,,154997,154997,154997,17,2020-04-21T04:00:00Z,2020-04-21T20:10:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",07761c2a075a948d6607e334cdce30547bae7ca5
15,IN,12097,1.0,1.0,1.0,0.0,B,3.0,55167,,,,676.0,,368.0,,,4/20 23:59,4/21 14:23,630.0,,67264,67264,67264,18,2020-04-21T03:59:00Z,2020-04-21T18:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",0b62315e9094d05a10e35c2043836669ea111fdf
16,KS,2025,1.0,1.0,1.0,0.0,B,3.0,17076,,,419.0,,,,,,4/21 12:00,4/21 14:34,107.0,419.0,19101,19101,19101,20,2020-04-21T16:00:00Z,2020-04-21T18:34:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",72646ffd1a1d022c4021b339014313ac58fd26da
17,KY,3192,1.0,1.0,1.0,1.0,A,4.0,30136,,286.0,1076.0,165.0,558.0,,,1266.0,4/21 17:00,4/21 23:19,171.0,1076.0,33328,33328,33328,21,2020-04-21T21:00:00Z,2020-04-22T03:19:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",426d828669207d3fae39fd8c2d9f1f9acf53448f
18,LA,24854,1.0,1.0,1.0,1.0,A,4.0,117576,,1798.0,,,,297.0,,,4/21 13:00,4/21 14:44,1405.0,,142430,142430,142430,22,2020-04-21T17:00:00Z,2020-04-21T18:44:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3e337d33d700855203c43aa3698dc126dc5333d4
19,MA,41199,1.0,1.0,0.0,1.0,B,3.0,134173,,3872.0,,1040.0,,,,,4/21 16:00,4/21 16:31,1961.0,,175372,175372,175372,25,2020-04-21T20:00:00Z,2020-04-21T20:31:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",e027d2a4646d6a47b90279b30ff99d6040a9f872
